Row Labels;Sum of daily unique entries
18;90
19;81
20;5
04 December 2017;704
6;2
7;62
8;81
9;53
10;46
11;79
12;89
13;95
14;91
15;109
16;108
17;164
18;173
19;158
20;106
21;64
22;6
05 December 2017;662
6;13
7;66
8;88
9;60
10;57
11;62
12;111
13;116
14;87
15;68
16;100
17;135
18;142
19;125
20;90
21;40
22;16
06 December 2017;671
6;5
7;56
8;62
9;48
10;57
11;98
12;135
13;148
14;94
15;100
16;92
17;100
18;105
19;91
20;98
21;63
22;8
07 December 2017;572
6;9
7;59
8;67
9;53
10;61
11;52
12;85
13;88
14;69
15;63
16;80
17;110
18;104
19;111
20;93
21;49
22;1
08 December 2017;586
2;0
6;9
7;50
8;66
9;56
10;55
11;77
12;123
13;108
14;69
15;55
16;90
17;121
18;113
19;68
20;74
21;52
22;15
09 December 2017;300
3;0
7;11
8;24
9;41
10;58
11;55
12;51
13;47
14;50
15;44
16;70
17;41
18;68
19;39
20;14
10 December 2017;255
8;21
9;28
10;30
11;20
12;46
13;43
14;44
15;37
16;65
17;58
18;54
19;41
20;5
11 December 2017;563
4;1
6;10
7;56
8;73
9;56
10;42
11;54
12;65
13;72
14;68
15;68
16;77
17;110
18;122
19;112
20;82
21;44
22;13
12 December 2017;542
0;0
4;1
6;3
7;49
8;61
9;43
10;42
11;51
12;100
13;91
14;85
15;85
16;92
17;112
18;95
19;92
20;79
21;46
22;2
23;1
13 December 2017;571
6;1
7;40
8;57
9;50
10;54
11;89
12;113
13;134
14;105
15;99
16;90
17;98
18;90
19;69
20;59
21;42
22;3
14 December 2017;516
6;10
7;47
8;63
9;53
10;42
11;49
12;82
13;77
14;63
15;82
16;94
17;103
18;121
19;106
20;60
21;42
22;8
15 December 2017;413
6;8
7;33
8;44
9;51
10;48
11;68
12;96
13;76
14;66
15;60
16;71
17;70
18;55
19;47
20;38
21;20
22;12
16 December 2017;124
4;0
7;3
8;16
9;27
10;32
11;31
12;26
13;29
14;40
15;34
16;4
17 December 2017;135
3;0
7;5
8;14
9;18
10;26
11;32
12;49
13;44
14;55
15;34
16;7
18 December 2017;351
6;6
7;28
8;56
9;47
10;35
11;48
12;54
13;60
14;67
15;62
16;61
17;80
18;69
19;59
20;7
19 December 2017;337
6;3
7;29
8;45
9;40
10;39
11;39
12;68
13;66
14;45
15;41
16;71
17;72
18;86
19;60
20;14
20 December 2017;278
6;3
7;32
8;32
9;31
10;27
11;45
12;54
13;49
14;40
15;36
16;53
17;68
18;66
19;53
20;17
21 December 2017;237
6;2
7;26
8;34
9;23
10;21
11;36
12;47
13;43
14;39
15;31
16;52
17;54
18;57
19;53
20;5
22 December 2017;191
6;2
7;19
8;25
9;29
10;22
11;36
12;38
13;31
14;26
15;32
16;36
17;51
18;47
19;34
20;2
29 December 2017;0
2;0
02 January 2018;296
7;22
8;32
9;16
10;26
11;37
12;61
13;50
14;44
15;44
16;60
17;68
18;73
19;68
20;23
03 January 2018;319
6;6
7;27
8;33
9;25
10;37
11;44
12;67
13;71
14;52
15;39
16;57
17;73
18;66
19;70
20;5
04 January 2018;380
6;2
7;32
8;41
9;23
10;35
11;60
12;79
13;90
14;59
15;36
16;51
17;83
18;102
19;76
20;4
05 January 2018;361
6;1
7;25
8;35
9;37
10;32
11;53
12;77
13;73
14;67
15;49
16;68
17;82
18;71
19;64
20;8
06 January 2018;192
8;15
9;28
10;31
11;38
12;38
13;26
14;35
15;38
16;43
17;38
18;42
19;38
20;6
07 January 2018;258
7;1
8;17
9;34
10;42
11;44
12;46
13;37
14;57
15;60
16;52
17;58
18;39
19;45
20;8
08 January 2018;647
6;13
7;63
8;84
9;54
10;39
11;66
12;81
13;102
14;83
15;67
16;98
17;156
18;158
19;129
20;93
21;38
22;9
09 January 2018;691
6;6
7;52
8;67
9;64
10;34
11;62
12;120
13;129
14;83
15;83
16;106
17;153
18;158
19;130
20;91
21;53
22;3
10 January 2018;733
6;1
7;59
8;77
9;48
10;63
11;87
12;155
13;168
14;124
15;113
16;103
17;131
18;130
19;104
20;86
21;37
22;3
11 January 2018;701
6;10
7;52
8;72
9;58
10;70
11;82
12;102
13;116
14;92
15;92
16;117
17;146
18;129
19;130
20;109
21;63
22;11
23;1
12 January 2018;702
6;5
7;61
8;80
9;89
10;66
11;90
12;129
13;107
14;105
15;82
16;97
17;134
18;142
19;100
20;83
21;36
22;11
23;1
13 January 2018;377
7;6
8;24
9;37
10;59
11;63
12;79
13;63
14;63
15;67
16;76
17;79
18;86
19;65
20;13
14 January 2018;395
8;17
9;47
10;77
11;74
12;79
13;58
14;65
15;67
16;94
17;87
18;79
19;58
20;2
15 January 2018;866
6;10
7;71
8;101
9;78
10;55
11;71
12;114
13;122
14;104
15;111
16;123
17;186
18;182
19;184
20;155
21;76
22;6
16 January 2018;865
6;19
7;79
8;118
9;72
10;60
11;72
12;146
13;147
14;121
15;93
16;139
17;182
18;178
19;151
20;115
21;68
22;18
17 January 2018;814
6;13
7;57
8;78
9;57
10;69
11;121
12;178
13;182
14;124
15;133
16;117
17;139
18;134
19;109
20;88
21;64
22;12
18 January 2018;815
6;14
7;67
8;91
9;70
10;81
11;88
12;129
13;128
14;111
15;101
16;122
17;164
18;150
19;164
20;106
21;61
22;4
19 January 2018;751
6;6
7;75
8;95
9;70
10;60
11;84
12;156
13;125
14;125
15;100
16;139
17;145
18;141
19;80
20;92
21;40
22;8
20 January 2018;355
7;4
8;28
9;47
10;43
11;57
12;67
13;52
14;46
15;70
16;70
17;78
18;89
19;58
20;22
23;1
21 January 2018;398
3;0
7;6
8;12
9;34
10;76
11;90
12;91
13;83
14;60
15;81
16;74
17;95
18;75
19;66
20;21
22 January 2018;891
6;11
7;73
8;120
9;90
10;56
11;87
12;130
13;115
14;104
15;92
16;121
17;203
18;204
19;182
20;147
21;73
22;23
23 January 2018;890
6;2
7;77
8;120
9;95
10;69
11;90
12;138
13;128
14;89
15;125
16;139
17;169
18;183
19;167
20;136
21;72
22;22
24 January 2018;806
6;1
7;70
8;78
9;79
10;85
11;127
12;169
13;156
14;113
15;116
16;119
17;153
18;143
19;110
20;84
21;63
22;17
25 January 2018;785
3;0
6;15
7;60
8;95
9;64
10;73
11;85
12;135
13;137
14;106
15;83
16;112
17;146
18;170
19;170
20;115
21;61
22;5
26 January 2018;777
6;11
7;66
8;92
9;88
10;80
11;93
12;154
13;122
14;126
15;92
16;122
17;163
18;145
19;121
20;86
21;47
22;3
27 January 2018;381
7;5
8;27
9;43
10;56
11;65
12;65
13;68
14;63
15;85
16;68
17;81
18;93
19;57
20;9
23;1
28 January 2018;369
3;0
6;1
7;5
8;18
9;37
10;52
11;65
12;80
13;73
14;67
15;73
16;84
17;82
18;73
19;66
20;5
29 January 2018;794
3;0
7;67
8;92
9;78
10;63
11;85
12;123
13;121
14;104
15;91
16;108
17;137
18;167
19;165
20;126
21;78
22;14
30 January 2018;850
6;14
7;82
8;109
9;90
10;81
11;80
12;135
13;137
14;104
15;105
16;123
17;173
18;184
19;152
20;113
21;57
22;24
31 January 2018;793
6;1
7;61
8;61
9;65
10;85
11;117
12;163
13;176
14;126
15;107
16;113
17;156
18;137
19;113
20;100
21;61
22;3
01 February 2018;751
6;1
7;64
8;86
9;67
10;64
11;78
12;97
13;130
14;98
15;78
16;115
17;167
18;170
19;145
20;106
21;59
22;5
02 February 2018;748
6;7
7;53
8;70
9;88
10;69
11;80
12;146
13;153
14;129
15;95
16;115
17;136
18;122
19;114
20;87
21;63
22;9
03 February 2018;373
7;1
8;32
9;53
10;48
11;65
12;76
13;61
14;58
15;53
16;62
17;75
18;94
19;56
20;26
04 February 2018;379
8;19
9;35
10;45
11;53
12;79
13;64
14;73
15;76
16;74
17;97
18;75
19;82
20;6
23;1
05 February 2018;815
6;7
7;59
8;79
9;59
10;55
11;90
12;122
13;104
14;89
15;93
16;110
17;191
18;201
19;184
20;125
21;82
22;6
06 February 2018;855
6;1
7;82
8;124
9;79
10;84
11;79
12;137
13;143
14;107
15;86
16;122
17;162
18;180
19;152
20;131
21;65
22;11
07 February 2018;779
6;1
7;61
8;79
9;64
10;77
11;124
12;159
13;162
14;138
15;127
16;110
17;136
18;128
19;100
20;81
21;64
22;6
08 February 2018;772
7;69
8;83
9;61
10;66
11;71
12;107
13;133
14;103
15;79
16;123
17;163
18;165
19;158
20;123
21;72
22;11
09 February 2018;723
6;3
7;69
8;79
9;89
10;66
11;82
12;135
13;128
14;119
15;89
16;105
17;146
18;128
19;113
20;77
21;43
22;10
10 February 2018;378
7;6
8;47
9;62
10;76
11;57
12;66
13;54
14;60
15;81
16;64
17;65
18;94
19;54
20;22
11 February 2018;371
7;1
8;23
9;31
10;63
11;70
12;83
13;77
14;72
15;58
16;79
17;66
18;72
19;67
20;3
12 February 2018;775
4;0
7;61
8;87
9;82
10;55
11;74
12;126
13;116
14;81
15;87
16;120
17;160
18;171
19;159
20;135
21;74
22;12
13 February 2018;772
6;2
7;78
8;107
9;80
10;78
11;61
12;110
13;129
14;94
15;84
16;115
17;175
18;174
19;138
20;107
21;35
22;18
14 February 2018;712
3;0
6;1
7;66
8;75
9;59
10;60
11;105
12;139
13;180
14;111
15;116
16;113
17;141
18;129
19;82
20;85
21;31
22;5
15 February 2018;701
6;10
7;50
8;74
9;51
10;75
11;68
12;115
13;125
14;118
15;78
16;96
17;120
18;148
19;152
20;102
21;52
22;3
16 February 2018;677
6;9
7;85
8;84
9;81
10;57
11;69
12;143
13;129
14;101
15;73
16;97
17;144
18;113
19;87
20;64
21;40
22;14
17 February 2018;309
1;0
7;6
8;26
9;45
10;61
11;56
12;49
13;53
14;45
15;67
16;65
17;72
18;66
19;38
20;9
23;0
18 February 2018;337
7;1
8;15
9;28
10;43
11;62
12;65
13;62
14;61
15;55
16;70
17;72
18;82
19;70
20;5
19 February 2018;740
3;0
6;5
7;53
8;77
9;71
10;62
11;90
12;135
13;114
14;72
15;82
16;93
17;158
18;166
19;150
20;120
21;68
22;28
20 February 2018;759
6;8
7;68
8;102
9;83
10;56
11;70
12;135
13;140
14;91
15;96
16;97
17;156
18;170
19;137
20;102
21;46
22;19
23;1
21 February 2018;762
6;3
7;62
8;90
9;63
10;63
11;105
12;143
13;156
14;108
15;102
16;110
17;134
18;140
19;107
20;106
21;66
22;9
23;1
22 February 2018;703
6;12
7;61
8;74
9;59
10;56
11;69
12;113
13;125
14;100
15;84
16;110
17;128
18;147
19;135
20;106
21;61
22;24
23 February 2018;697
2;0
6;6
7;61
8;82
9;85
10;59
11;78
12;139
13;122
14;101
15;80
16;99
17;139
18;134
19;100
20;76
21;61
22;22
24 February 2018;334
1;0
7;5
8;25
9;51
10;54
11;56
12;78
13;61
14;50
15;77
16;60
17;66
18;63
19;43
20;3
25 February 2018;317
7;5
8;17
9;28
10;40
11;55
12;65
13;59
14;54
15;61
16;58
17;65
18;65
19;59
20;17
26 February 2018;724
2;0
6;13
7;57
8;87
9;83
10;48
11;77
12;108
13;97
14;94
15;68
16;103
17;155
18;153
19;131
20;120
21;76
22;7
27 February 2018;727
0;0
1;0
6;14
7;64
8;72
9;67
10;63
11;66
12;121
13;126
14;107
15;77
16;111
17;133
18;138
19;129
20;130
21;59
22;28
28 February 2018;640
6;10
7;46
8;67
9;54
10;66
11;98
12;103
13;144
14;105
15;106
16;100
17;114
18;118
19;98
20;64
21;32
22;13
01 March 2018;596
6;12
7;44
8;63
9;57
10;53
11;62
12;96
13;98
14;83
15;76
16;100
17;136
18;150
19;107
20;66
21;52
22;22
23;1
02 March 2018;626
6;4
7;48
8;58
9;63
10;59
11;83
12;124
13;117
14;104
15;74
16;114
17;119
18;122
19;101
20;59
21;38
22;21
03 March 2018;324
0;0
7;5
8;22
9;40
10;45
11;55
12;66
13;50
14;44
15;55
16;72
17;53
18;90
19;65
20;8
04 March 2018;362
7;4
8;25
9;37
10;54
11;60
12;77
13;60
14;57
15;75
16;78
17;76
18;62
19;68
20;25
05 March 2018;801
2;0
6;1
7;66
8;99
9;75
10;66
11;91
12;117
13;128
14;99
15;99
16;106
17;165
18;169
19;143
20;117
21;65
22;18
06 March 2018;821
6;4
7;85
8;100
9;76
10;66
11;69
12;115
13;127
14;123
15;114
16;120
17;156
18;201
19;149
20;114
21;66
22;10
07 March 2018;693
6;9
7;50
8;65
9;53
10;68
11;107
12;120
13;126
14;101
15;103
16;107
17;112
18;134
19;112
20;93
21;48
22;22
08 March 2018;727
6;5
7;58
8;88
9;62
10;64
11;71
12;112
13;114
14;92
15;81
16;109
17;122
18;170
19;140
20;115
21;85
22;16
09 March 2018;664
7;24
8;82
9;67
10;58
11;77
12;128
13;126
14;104
15;71
16;95
17;139
18;125
19;83
20;65
21;44
22;20
10 March 2018;326
7;2
8;21
9;54
10;48
11;60
12;55
13;57
14;45
15;48
16;61
17;64
18;89
19;55
20;22
11 March 2018;311
7;5
8;25
9;39
10;46
11;48
12;54
13;47
14;57
15;69
16;56
17;60
18;66
19;56
20;8
12 March 2018;736
6;1
7;60
8;86
9;82
10;63
11;82
12;100
13;106
14;99
15;87
16;95
17;143
18;171
19;154
20;111
21;63
22;12
13 March 2018;796
6;5
7;78
8;102
9;91
10;65
11;68
12;120
13;122
14;91
15;103
16;133
17;172
18;163
19;135
20;117
21;52
22;16
14 March 2018;725
6;8
7;51
8;77
9;66
10;68
11;100
12;142
13;156
14;100
15;116
16;96
17;133
18;142
19;97
20;76
21;49
22;5
15 March 2018;701
6;6
7;49
8;73
9;64
10;56
11;56
12;107
13;130
14;96
15;81
16;106
17;129
18;172
19;157
20;115
21;66
22;14
16 March 2018;679
4;0
6;13
7;62
8;78
9;66
10;63
11;82
12;156
13;126
14;116
15;97
16;94
17;120
18;112
19;93
20;60
21;45
22;20
23;1
17 March 2018;290
7;6
8;29
9;42
10;46
11;64
12;51
13;58
14;45
15;45
16;50
17;50
18;64
19;47
20;9
18 March 2018;327
8;21
9;26
10;25
11;44
12;82
13;77
14;61
15;58
16;50
17;73
18;72
19;64
20;21
19 March 2018;696
6;8
7;50
8;81
9;88
10;62
11;88
12;92
13;103
14;78
15;69
16;92
17;148
18;155
19;144
20;98
21;73
22;23
20 March 2018;724
6;8
7;67
8;93
9;75
10;52
11;60
12;112
13;111
14;97
15;91
16;107
17;171
18;158
19;122
20;114
21;48
22;11
21 March 2018;651
6;1
7;48
8;65
9;54
10;61
11;85
12;109
13;117
14;80
15;102
16;110
17;145
18;121
19;97
20;81
21;48
22;13
22 March 2018;631
6;3
7;55
8;77
9;59
10;63
11;73
12;115
13;110
14;82
15;67
16;86
17;135
18;129
19;117
20;72
21;50
22;21
23 March 2018;551
6;8
7;46
8;65
9;66
10;62
11;65
12;108
13;100
14;88
15;75
16;89
17;127
18;114
19;74
20;47
21;19
22;12
24 March 2018;172
7;4
8;15
9;34
10;46
11;63
12;51
13;42
14;48
15;39
16;21
19;1
22;1
25 March 2018;167
2;0
7;3
8;17
9;18
10;33
11;43
12;47
13;56
14;61
15;58
16;22
26 March 2018;485
6;8
7;37
8;58
9;62
10;55
11;70
12;85
13;80
14;70
15;62
16;65
17;112
18;129
19;103
20;6
27 March 2018;427
1;0
6;2
7;35
8;56
9;49
10;40
11;38
12;66
13;69
14;54
15;54
16;80
17;115
18;131
19;84
20;9
28 March 2018;425
6;1
7;41
8;39
9;30
10;37
11;59
12;99
13;89
14;63
15;64
16;68
17;103
18;120
19;79
20;24
30 March 2018;0
13;0
01 April 2018;1
22;1
02 April 2018;1
4;1
18;1
22;1
04 April 2018;518
6;3
7;43
8;58
9;56
10;61
11;66
12;86
13;76
14;61
15;76
16;85
17;127
18;149
19;108
20;20
05 April 2018;443
6;2
7;40
8;61
9;50
10;47
11;69
12;70
13;91
14;64
15;61
16;72
17;103
18;129
19;82
20;4
06 April 2018;398
6;5
7;33
8;47
9;41
10;48
11;47
12;68
13;52
14;66
15;51
16;65
17;101
18;123
19;72
20;6
07 April 2018;173
3;0
7;2
8;11
9;29
10;32
11;51
12;50
13;65
14;41
15;62
16;16
08 April 2018;178
7;7
8;20
9;25
10;41
11;43
12;60
13;39
14;66
15;67
16;5
09 April 2018;510
6;8
7;37
8;65
9;57
10;44
11;62
12;79
13;94
14;70
15;71
16;89
